 Tev(Myr)    type      Mo        Mt      log10(L)  log10(R) log10(Teff)  Mc        Menv              epoch      spin                                  
 1626.7208   13.0000   15.1114    2.2422   -7.8783   -4.8539    4.2206    2.2422  1.0000E-10     15.6208  2.0000E+08
 2126.7207   13.0000   15.1114    2.2422   -8.1130   -4.8539    4.1619    2.2422  1.0000E-10     15.6208  2.0000E+08
 2626.7207   13.0000   15.1114    2.2422   -8.2977   -4.8539    4.1158    2.2422  1.0000E-10     15.6208  2.0000E+08
 3126.7207   13.0000   15.1114    2.2422   -8.4499   -4.8539    4.0777    2.2422  1.0000E-10     15.6208  2.0000E+08
 3626.7207   13.0000   15.1114    2.2422   -8.5793   -4.8539    4.0454    2.2422  1.0000E-10     15.6208  2.0000E+08
 4126.7207   13.0000   15.1114    2.2422   -8.6919   -4.8539    4.0172    2.2422  1.0000E-10     15.6208  2.0000E+08
 4626.7207   13.0000   15.1114    2.2422   -8.7916   -4.8539    3.9923    2.2422  1.0000E-10     15.6208  2.0000E+08
 5126.7207   13.0000   15.1114    2.2422   -8.8811   -4.8539    3.9699    2.2422  1.0000E-10     15.6208  2.0000E+08
 5626.7207   13.0000   15.1114    2.2422   -8.9621   -4.8539    3.9497    2.2422  1.0000E-10     15.6208  2.0000E+08
 6126.7207   13.0000   15.1114    2.2422   -9.0363   -4.8539    3.9311    2.2422  1.0000E-10     15.6208  2.0000E+08
 6626.7207   13.0000   15.1114    2.2422   -9.1046   -4.8539    3.9141    2.2422  1.0000E-10     15.6208  2.0000E+08
 7000.0000   13.0000   15.1114    2.2422   -9.1523   -4.8539    3.9021    2.2422  1.0000E-10     15.6208  2.0000E+08
   -1.0000   13.0000   15.1114    2.2422   -9.1523   -4.8539    3.9021    2.2422  1.0000E-10     15.6208  2.0000E+08
